pdb,reactivity,0,pdbid,biological_unit,unit
3LFL,High,reduced_3lfl.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3LFL,DIMERIC,DIMERIC
5CVD,High,reduced_5cvd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5CVD,DIMERIC,DIMERIC
4WJA,High,reduced_4wja.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4WJA,DIMERIC,DIMERIC
4O56,High,reduced_4o56.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4O56,DIMERIC,DIMERIC
5J19,High,reduced_5j19.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5J19,DIMERIC,DIMERIC
5J19,High,reduced_5j19.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5J19,DIMERIC,DIMERIC
2OGQ,High,reduced_2ogq.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2OGQ,MONOMERIC,MONOMERIC
3C5L,High,,,,NA
3HIH,High,reduced_3hih.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3HIH,MONOMERIC,MONOMERIC
3HIH,High,reduced_3hih.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3HIH,MONOMERIC,MONOMERIC
3Q1I,High,reduced_3q1i.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3Q1I,DIMERIC,DIMERIC
4DFW,High,reduced_4dfw.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4DFW,DIMERIC,DIMERIC
4H71,High,reduced_4h71.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4H71,MONOMERIC,MONOMERIC
4H71,High,reduced_4h71.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4H71,MONOMERIC,MONOMERIC
